Date,Name,Family,Model,"Clock (Mhz)","Bus Width","Power (W)","Feature Size","Num Transistors","Die size",Vdd_low,Vdd_high,"L1.I (per core)","L1.D (per core)","L2 (available per core)","L2 Shared?",L3,hw_nthreadspercore,hw_ncoresperchip,hw_nchips,hw_ncores,basemean.int2006,peakmean.int2006,basemean.fp2006,peakmean.fp2006,basemean.rate.int2006,peakmean.rate.int2006,basemean.rate.fp2006,peakmean.rate.fp2006
2006/01/10,AMD,"Athlon 64",FX-60,2600,64,110,0.09,233,199,1.3,1.35,32,32,1024,no,0,1,2,1,2,10.1,NA,NA,NA,17.5,NA,NA,NA
,AMD,"Athlon 64",FX-62,2800,64,125,0.09,243,220,1.3,1.35,32,32,1024,no,0,1,2,1,2,11.4,NA,10.3,NA,21.8,NA,18.8,NA
2007/02/20,AMD,"Athlon X2",6000,3000,64,125,0.09,227,220,1.3,1.35,64,64,1024,no,0,1,2,1,2,12.9,13.7,13,13.2,23.7,24.7,20.6,21
2007/08/20,AMD,"Athlon X2",6400,3200,64,125,0.09,227,230,1.35,1.4,64,64,1024,no,0,1,2,1,2,14.3,15.1,13.8,14.1,26.6,27.7,22.2,22.7
2008/12/01,AMD,"Athlon X2",7550,2500,64,95,0.065,450,285,1.05,1.325,64,64,512,no,2048,1,2,1,2,13.1,13.8,13.8,13.9,23.8,24.8,21.8,22.3
2008/12/01,AMD,"Athlon X2",7750,2700,64,95,0.065,463,285,1.05,1.325,64,64,512,no,2048,1,2,1,2,14.2,15,14.3,14.4,25.1,26.2,22.4,22.9
2003/09/09,AMD,Opteron,146,2000,64,89,0.13,106,193,1.4,1.5,64,64,1024,,0,1,1,1,1,9.02,NA,NA,NA,NA,NA,NA,NA
,AMD,Opteron,254,2800,64,92.6,0.09,106,115,1.35,1.4,64,64,1024,,0,1,1,1,1,11.1,12.4,12.1,13,NA,NA,NA,NA
,AMD,Opteron,256,3000,64,92.6,0.09,106,115,1.35,1.4,64,64,1024,,0,1,1,1,1,11.9,13.3,12.7,13.2,NA,NA,NA,NA
,AMD,Opteron,890,2800,64,95,0.09,233,199,1.3,1.35,64,64,1024,no,0,1,2,1,2,12.6,13.9,12.7,13.5,22.6,25.2,20.4,21.5
2006/08/15,AMD,Opteron,1218,2600,64,103,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,NA,NA,NA,NA,17.3,NA,14.8,NA
2008/04/01,AMD,Opteron,1352,2100,64,95,0.065,463,,,1.2,64,64,512,no,2048,1,4,1,4,NA,NA,NA,NA,41.4,50.6,41.6,46.3
2008/04/01,AMD,Opteron,1354,2200,64,95,0.065,463,,,1.2,64,64,512,no,2048,1,4,1,4,NA,NA,NA,NA,42.6,52.3,42.8,47.5
2008/04/01,AMD,Opteron,1356,2300,64,95,0.065,463,,,1.2,64,64,512,no,2048,1,4,1,4,NA,NA,NA,NA,44.3,54.4,44,49
2006/08/15,AMD,Opteron,2210,1800,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,NA,NA,NA,NA,17.3,19.1,17.6,18.6
2006/08/15,AMD,Opteron,2212,2000,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,NA,NA,NA,NA,19.2,21.2,19.5,20.5
2006/08/15,AMD,Opteron,2214,2200,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,NA,NA,NA,NA,20.4,22.6,20.5,21.7
2006/08/15,AMD,Opteron,2216,2400,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,NA,NA,NA,NA,21.6,24,21.4,22.5
2006/08/15,AMD,Opteron,2218,2600,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,NA,NA,NA,NA,23.3,25.9,23.1,24.4
2007/02/01,AMD,Opteron,2220,2800,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,12.7,14,13.2,16.6,24.3,27,23.6,25
2007/08/05,AMD,Opteron,2222,3000,64,95,0.09,227.4,230,1.3,1.35,64,64,1024,no,0,1,2,1,2,14.5,15.5,14.8,15.1,27.7,30.7,26.1,28.2
2007/09/10,AMD,Opteron,2350,2000,64,95,0.065,463,285,,1.2,64,64,512,no,2048,1,4,1,4,NA,NA,NA,NA,40.9,47.1,37.7,41.3
2008/04/09,AMD,Opteron,2356,2300,64,95,0.065,463,285,,1.2,64,64,512,no,2048,1,4,1,4,NA,NA,NA,NA,45.7,52.4,41.3,45.2
2008/11/13,AMD,Opteron,2384,2700,64,115,0.045,,,,1.35,64,64,512,no,6144,1,4,1,4,17.5,21.1,19.5,21.7,57.1,68.8,53.3,59.7
2009/04/22,AMD,Opteron,2389,2900,64,115,0.045,,,,1.325,64,64,512,no,6144,1,4,1,4,NA,NA,NA,NA,61.4,72.5,54.8,60.4
2009/06/02,AMD,Opteron,2435,2600,64,115,0.045,904,346,,1.3,64,64,512,no,6144,1,6,1,6,18.1,21.2,22.1,24.1,82.1,104,65.2,72.2
2006/08/15,AMD,Opteron,"2220 SE",2800,64,119,0.09,,,1.325,1.375,64,64,1024,no,0,1,2,1,2,12.7,14,NA,NA,24.1,26.7,NA,NA
2007/04/23,AMD,Opteron,"2222 SE",3000,64,119,0.09,,,1.325,1.375,64,64,1024,no,0,1,2,1,2,13.5,14.9,14.3,15.2,24.3,27.1,NA,NA
2008/04/01,AMD,Opteron,"2360 SE",2500,64,119,0.065,463,285,,,64,64,512,no,2048,1,4,1,4,NA,NA,NA,NA,48,56.4,43.4,48.2
2009/07/13,AMD,Opteron,"2439 SE",2800,64,137,0.045,,,,1.3,64,64,512,no,6144,1,6,1,6,NA,NA,NA,NA,86,109,67.2,74.4
2009/02/09,AMD,"Phenom II X3",710,2600,64,95,0.045,758,258,0.875,1.425,64,64,512,no,6144,1,3,1,3,15.1,16,16,16.2,37.9,39.1,31.7,32.4
2009/02/09,AMD,"Phenom II X3",720,2800,64,95,0.045,758,258,0.875,1.425,64,64,512,no,6144,1,3,1,3,16,17,16.7,17,39.7,41.2,33,33.7
2009/02/09,AMD,"Phenom II X4",805,2500,64,95,0.045,758,258,0.875,1.425,64,64,512,no,4096,1,4,1,4,14.5,15.4,15.6,15.8,43.7,44.9,36.5,37.2
2009/02/09,AMD,"Phenom II X4",810,2600,64,95,0.045,758,258,0.875,1.425,64,64,512,no,4096,1,4,1,4,14.7,15.6,15.9,16.2,44.5,45.7,37.2,37.9
2009/02/09,AMD,"Phenom II X4",910,2600,64,95,0.045,758,258,0.875,1.425,64,64,512,no,6144,1,4,1,4,15.2,16.1,16.3,16.5,45.2,46.7,37.7,38.5
2009/01/08,AMD,"Phenom II X4",920,2800,64,125,0.045,758,258,0.875,1.425,64,64,512,no,6144,1,4,1,4,15.8,16.7,17,17.2,48.1,49.6,39.7,40.5
2009/05/01,AMD,"Phenom II X4",925,2800,64,95,0.045,758,258,0.85,1.425,64,64,512,no,6144,1,4,1,4,16,17,17,17.2,47.5,48.9,39,39.8
2009/01/08,AMD,"Phenom II X4",940,3000,64,125,0.045,758,258,0.875,1.425,64,64,512,no,6144,1,4,1,4,16.4,17.3,NA,NA,51.9,53.5,41.6,42.4
2009/11/11,AMD,"Phenom II X4",955,3200,64,125,0.045,758,258,0.85,1.4,64,64,512,no,6144,1,4,1,4,17.6,18.6,18.4,18.6,51.9,53.4,41.8,42.6
2008/04/23,AMD,"Phenom X3",8750,2400,64,95,0.065,463,283,1.2,1.25,64,64,512,no,2048,1,3,1,3,12.7,13.4,14,14.2,33.3,34.3,28.9,29.6
2008/03/27,AMD,"Phenom X4",9750,2400,64,95,0.065,463,283,1.15,1.25,64,64,512,no,2048,1,4,1,4,12.6,13.2,14.2,14.4,42.2,43.3,35.1,35.9
2008/07/01,AMD,"Phenom X4",9850,2500,64,125,0.065,463,283,1.2,1.3,64,64,512,no,2048,1,4,1,4,13.2,13.8,14.8,14.9,43.9,45.1,36.2,37
2008/07/01,AMD,"Phenom X4",9950,2600,64,140,0.065,463,283,1.25,1.3,64,64,512,no,2048,1,4,1,4,13.4,14,15.1,15.3,44.9,46.1,36.9,37.8
2008/07/01,AMD,"Phenom X4",9350e,2000,64,65,0.065,463,283,1.075,1.125,64,64,512,no,2048,1,4,1,4,10.9,11.4,12.7,12.8,37.6,38.5,31.9,32.6
2007/05/21,IBM,Power6,595,5000,64,160,0.065,790,341,,,64,64,4096,no,0,1,2,1,1,NA,NA,20.1,24.9,NA,NA,NA,NA
2007/05/21,IBM,Power6,,3500,64,160,0.065,790,341,,,64,64,4096,no,0,1,2,1,1,13.3,16.2,13.6,16.5,NA,NA,NA,NA
2007/05/21,IBM,Power6,,3800,64,160,0.065,790,341,,,64,64,4096,no,0,1,2,1,1,13.6,16.1,14.2,17.9,NA,NA,NA,NA
2007/05/21,IBM,Power6,,3800,64,160,0.065,790,341,,,64,64,4096,no,0,2,2,1,2,NA,NA,NA,NA,41.2,45.9,36.2,42.5
2007/05/21,IBM,Power6,,4200,64,160,0.065,790,341,,,64,64,4096,no,0,1,1,1,1,15.8,19.2,16.3,19.6,NA,NA,NA,NA
2007/05/21,IBM,Power6,,4200,64,160,0.065,790,341,,,64,64,4096,no,0,2,2,1,2,NA,NA,NA,NA,41.2,45.4,35.7,40.5
2007/05/21,IBM,Power6,575,4700,64,160,0.065,790,341,,,64,64,4096,no,0,1,2,1,1,17.8,21.7,18.7,22.5,NA,NA,NA,NA
2007/05/21,IBM,Power6,575,4700,64,160,0.065,790,341,,,64,64,4096,no,0,2,2,1,2,NA,NA,NA,NA,53.2,60.9,51.5,58
2010/02/01,IBM,Power7,710,3550,64,200,0.045,1200,567,,,32,32,256,no,32768,4,8,1,8,NA,NA,NA,NA,255,289,229,248
2010/02/01,IBM,Power7,710,3700,64,200,0.045,1200,567,,,32,32,256,no,24576,4,6,1,6,NA,NA,NA,NA,210,239,198,213
2006/09/01,Intel,Celeron,440,2000,64,35,0.065,105,77,1.05,1.3,32,32,512,,0,1,1,1,1,11.1,11.7,11.4,11.5,NA,NA,NA,NA
,Intel,Celeron,445,1860,64,65,0.065,105,77,1.05,1.3,32,32,512,,0,1,1,1,1,10.9,12.3,11.1,11.6,10.9,12.3,11.1,11.6
2010/01/07,Intel,Celeron,G1101,2260,64,73,0.032,,,0.65,1.4,32,32,256,no,2048,1,2,1,2,18.7,20.2,22.1,23,32.3,35.8,34.6,35.9
2008/09/01,Intel,Celeron,"M 723",1200,64,10,0.045,410,107,1.05,1.15,32,32,1024,,0,1,1,1,1,NA,NA,NA,NA,9,NA,8.9,NA
2007/01/27,Intel,"Core 2 Duo",E4300,1800,64,65,0.065,167,111,0.85,1.5,32,32,2048,yes,0,1,2,1,2,11.4,NA,NA,NA,19.8,NA,NA,NA
2007/07/22,Intel,"Core 2 Duo",E4500,2200,64,65,0.065,167,111,0.85,1.5,32,32,2048,yes,0,1,2,1,2,NA,NA,NA,NA,25,28,22.7,23.8
2007/10/21,Intel,"Core 2 Duo",E4600,2400,64,65,0.065,167,111,1.162,1.312,32,32,2048,yes,0,1,2,1,2,15.6,17.7,15.6,16.5,26.4,29.5,23.5,24.8
2006/07/27,Intel,"Core 2 Duo",E6300,1860,64,65,0.065,291,143,0.85,1.5,32,32,2048,yes,0,1,2,1,2,12.3,NA,11.6,NA,21.4,NA,19.6,NA
