Name,Model,Date,Clock Speed (MHz),Bus Width,Power Typ (W),Tech,Feature Size (um),Num Metal Layers,Num Transistors,Die Size,I $,D $,L2 $,L3$,Vdd,MIPS,Spec92,Spec92,Spec95,Spec95,Spec2000,Spec2000,Spec2006,Spec2006,SpecRate06,SpecRate06,Cycle in FO4,SpecInt2006 per MHz,Power Density (W/mm2),SpecAvg,SpecrAvg,Watts/Spec,Watts/SpecR,Watts/l^3*Spec,l^3*Spec^2/Watt,,SpecAvg*L,Watts/(V^2*L*Spec),Watts/(V^2*L*SpecR),NumChips,NumCores/Chip,ThreadPerCore,FO4,Performance,PerformanceR,IPC,IPCRate,,,,
Name,,Introduction,Clock Speed (MHz),Bus Width,Power Typ (W),Tech,Feature Size (um),Num Metal Layers,Num Transistors,Die Size,I $,D $,L2 $,L3$,Vdd,MIPS,int,fp,int,fp,int,fp,int,fp,int,fp,Cycle in FO4,SpecInt2006 per MHz,Power Density (W/mm2),,,,,,,2071.22086543168,,,,NumChips,NumCores/Chip,ThreadPerCore,FO4,Performance,PerformanceR,IPC,IPCRate,,,,
,,,,,,,,,,,,,,,,,0.741351377390802,,0.0246957611656997,0.0210218980701101,10.63,7.57,0.00640,0.00594,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel 4004,,1971-11-15,0.108,4,0.5,pmos,10,2,0.0023,12,0,0,0,,5,0.06,,,0.0238196286472149,,0.01,,0.0001,0.0000,,,2572,0.000693,,0.000037,0.000000,,,,,,,,,,,,0.0000000018,0.00673406451748791,0,0.0623524492359992,0,,,,
Intel 8008,,1972-04-01,0.2,8,1,pmos,10,2,0.0035,16,0,0,0,,5,0.06,,,0.0243027888446215,,0.01,,0.0001,0.0000,,,1389,0.000374,,0.000037,0.000000,,,,,,,,,,,,0.0000000018,0.00673406451748791,0,0.0336703225874396,0,,,,
Intel 8080,,1974-04-01,2,8,0.8,pmos,6,2,0.006,20,0,0,0,,5,0.64,,,,,0.12,,0.0008,0.0000,,,231,0.000399,,0.000399,0.000000,,,,,,,,,,,,0.00000000108,0.0430980129119226,0,0.0215490064559613,0,,,,
Intel 8086 (1978-1979),,1978-06-07,5,16,1.7,nmos,3,2,0.029,33,0,0,0,,5,0.33,,,,,0.06,,0.0004,0.0000,,,185,0.000082,0.05,0.000206,0.000000,8261.92910565079,#DIV/0!,4.78120897317754,0.0000430357852235957,,0.000617289247436392,110.159054742011,#DIV/0!,,1,,0.00000000054,0.0111112064538551,0,0.00222224129077101,0,,,,
,,1978-07-07,8,,1.8,,3,,,33,,,,,5,0.66,,,,,0.13,,0.0008,0.0000,,,116,0.000103,0.05,0.000412,0.000000,4373.96246769748,#DIV/0!,2.53122827991752,0.000162579633066917,,0.00123457849487278,58.3194995692997,#DIV/0!,,1,,0.00000000054,0.0222224129077101,0,0.00277780161346376,0,,,,
,,1978-08-07,10,,1.8,,3,,,33,,,,,5,0.75,,,,,0.15,,0.0009,0.0000,,,93,0.000094,0.05,0.000468,0.000000,3849.08697157378,#DIV/0!,2.22748088632742,0.000209942707989304,,0.00140293010780998,51.3211596209837,#DIV/0!,,1,,0.00000000054,0.0252527419405797,0,0.00252527419405797,0,,,,
Intel 8088 (1979),,1979-06-01,8,8,1.8,cmos,3,2,0.029,33,0,0,0,,5,0.75,,,,,0.15,,0.0009,0.0000,,,116,0.000117,0.05,0.000468,0.000000,3849.08697157378,#DIV/0!,2.22748088632742,0.000209942707989304,,0.00140293010780998,51.3211596209837,#DIV/0!,,1,,0.00000000054,0.0252527419405797,0,0.00315659274257246,0,,,,
Intel 80286 (1982),,1982-02-01,6,16,3.3,cmos,1.5,2,0.134,47,0,0,0,,5,0.9,,,,,0.18,,0.0011,0.0000,,,309,0.000187,,0.000561,0.000000,5880.54953990439,#DIV/0!,,,,,156.81465439745,#DIV/0!,,1,,0.00000000027,0.0151516451643478,0,0.00252527419405797,0,,,,
,,1982-03-01,10,,3.3,,1.5,,,47,,,,,5,1.5,,,,,0.29,,0.0019,0.0000,,,185,0.000187,,0.000935,0.000000,3528.32972394263,#DIV/0!,,,,,94.0887926384702,#DIV/0!,,1,,0.00000000027,0.0252527419405797,0,0.00252527419405797,0,,,,
,,1982-04-01,12,,3.3,,1.5,,,47,,,,,5,2.66,,,,,0.52,,0.0033,0.0000,,,154,0.000276,,0.001659,0.000000,1989.65961876464,#DIV/0!,,,,,53.0575898337238,#DIV/0!,,1,,0.00000000027,0.0447815290412946,0,0.00373179408677455,0,,,,
Intel 80386 (1985-1989),DX,1985-10-17,16,32,1.7,cmos,1.5,2,0.275,103,0,0,0,,5,5.5,,,,,1.07,,0.01,0.00,,,116,0.000429,0.02,0.003429,0.000000,495.715746339048,#DIV/0!,2.29498030712522,0.00149429809804152,,0.00514407706196993,13.2190865690413,#DIV/0!,,1,,0.00000000027,0.0925933871154588,0,0.00578708669471617,0,,,,
,,1987-02-16,20,,1.3,,1,,,46,,,,,5,6.5,,,,,1.27,,0.01,0.00,,,139,0.000405,0.03,0.004053,0.000000,320.757247631148,#DIV/0!,5.01183199423669,0.000808668208551394,,0.00405290920033995,12.8302899052459,#DIV/0!,,1,,0.00000000018,0.072952365606119,0,0.00364761828030595,0,,,,
,,1988-04-04,25,,1.6,,1,,,46,,,,,5,8.5,,,,,1.65,,0.01,0.00,,,111,0.000424,0.03,0.005300,0.000000,301.889174241081,#DIV/0!,4.71701834751689,0.00112358227053535,,0.00529995818505993,12.0755669696432,#DIV/0!,,1,,0.00000000018,0.0953992473310788,0,0.00381596989324315,0,,,,
,,1989-04-10,33,,2,,1,,,46,,,,,5,11.4,9.4,3,,,2.47,0.48,0.02,0.00,,,84,0.000479,0.04,0.009324,0.000000,214.509166409497,#DIV/0!,3.35170572514839,0.00278175104106581,,0.00932361089027779,8.58036665637989,#DIV/0!,,1,,0.00000000018,0.167824996025,0,0.00508560594015152,0,,,,
Intel 80486 (1990-1994),DX,1989-04-10,25,32,3,cmos,1,3,1.2,81,8 unified,,0,,5,20,16.8,7.4,,,4.41,1.18,0.03,0.01,,,111,0.001130,0.04,0.017627,0.000000,170.196927723015,#DIV/0!,2.6593269956721,0.00662823345191578,,0.0176266401522965,6.80787710892058,#DIV/0!,,1,,0.00000000018,0.317279522741338,0,0.0126911809096535,0,,,,
,,1990-05-07,33,,3.5,,1,,,81,,,,,5,27,18.6,8.5,,,4.88,1.35,0.03,0.01,,,84,0.000948,0.04,0.019660,0.000000,178.023332591666,#DIV/0!,2.78161457174478,0.00706796133125618,,0.0196603442315508,7.12093330366663,#DIV/0!,,1,,0.00000000018,0.353886196167914,0,0.0107238241263004,0,,,,
,,1991-06-24,50,,4,,0.8,,,76,,,,,5,41,33.4,14.5,,,8.77,2.31,0.06,0.01,,,69,0.001124,0.05,0.034943,0.000000,114.47113426245,#DIV/0!,3.4933817829117,0.0100027163601188,,0.0279546456896574,5.72355671312253,#DIV/0!,,1,,0.000000000144,0.503183622413832,0,0.0100636724482766,0,,,,
,DX2,1992-08-10,66,,5.8,,0.8,,,76,,,,,5,54,29.9,18.8,,,7.85,2.99,0.05,0.02,,,53,0.000762,0.08,0.034031,0.000000,170.430449502451,#DIV/0!,5.20112455756992,0.0065430998775304,,0.0272251819645249,8.52152247512256,#DIV/0!,,1,,0.000000000144,0.490053275361448,0,0.0074250496266886,0,,,,
,DX4,1994-03-07,100,,4.1,bicmos,0.6,4,1.6,87,,,,,3.3,70.7,54.59,26.91,,,14.34,4.28,0.09,0.03,,,46,0.000918,0.05,0.058630,0.000000,69.9305261057083,#DIV/0!,5.05863180741524,0.0115900148049501,,0.0351777705244405,10.7025598570108,#DIV/0!,,1,,0.000000000108,0.633199869439929,0,0.00633199869439929,0,,,,
Intel Pentium (1993-1997),,1993-03-22,66,32,13,bicmos,0.8,3,3.2,294,8,8,,,5,112,77.9,63.6,,,20.46,10.12,0.13,0.06,,,53,0.001985,0.04,0.095572,0.000000,136.022939964156,#DIV/0!,4.15109069714832,0.0230233742225851,,0.0764576916418697,6.8011469982078,#DIV/0!,,1,,0.000000000144,1.37623844955366,0,0.0208520977205099,0,,,,
